#	,女字	,汉字	,笔数	,读音	,疑点	,偏旁	,备注			,ss1,ss2,ss3,ss4,,ss9,ss10
u1B266	,𛉦	,各[恶]	,8	,kou5	,	,o𛈁	,			, , , , ,_, , 
u1B267	,𛉧	,欧	,8→9	,ou44	,	,区𛆝	,up!			, , , , ,_, , 
u1B268	,𛉨	,假[驾]	,8	,kue35	,	,𛅳𛈅	,			, , , , ,_, , 
u1B269	,𛉩	,秋[畜]	,8	,tshiou44	,形近𛈪	,𛆅𛆳	,			, , , , ,_, , 
u1B26A	,𛉪	,羞[修]	,8	,siou44	,	,)𛈯	,			, , , , ,_, , 
u1B26B	,𛉫	,觉[粥祝角]	,8	,tciou5	,	,x𛈏	,			, , , , ,_, , 
u1B26C	,𛉬	,寿[仇酬效校孝学受授熟]	,8	,ciou13	,字形？寿纹[符号]	,𛇓𛇓?	,	, , , , ,_, , 
u1B26D	,𛉭	,通[滩]	,8	,thuow44	,	,𛅳.𛅼|.	,			, , , , ,_, , 
u1B26E	,𛉮	,奉	,8	,fang13	,	,龵𛆓	,			, , , , ,_, , 
u1B26F	,𛉯	,枉	,8	,vang5	,字形？	,不𛆧	,			, , , , ,_, , 
u1B270	,𛉰	,当[端]	,8	,lang44	,	,𛆓ㆬ	,up!			, , , , ,_, , 
u1B271	,𛉱	,聪[窗餐仓苍葬枪腔抢]	,8	,tshang44	,	,𛅼|𛅼|	,		, , , , ,_, , 
u1B272	,𛉲	,空[康宽堪]	,8	,khang44	,	,㓁𛆀	,			, , , , ,_, , 
u1B273	,𛉳	,砍	,8	,khang5	,	,o𛅳𛆙	,			, , , , ,_, , 
u1B274	,𛉴	,良[粮龙凉梁粱隆]	,8	,liang42	,字形？	,)⾉	,		, , , , ,_, , 
u1B275	,𛉵	,松[凑相箱镶湘厢]	,8	,siang44	,	,o𛅳③ \ o𛈀	,		, , , , ,_, , 
u1B276	,𛉶	,香[乡胸伤商尚]	,8	,ciang44	,形近𛉟	,𛆨𛅼	,			, , , , ,_, , 
u1B277	,𛉷	,响[享]	,8	,ciang35	,字形？	,oㄑΛ𛅳?	,			, , , , ,_, , 
u1B278	,𛉸	,点[典]	,8	,neng35	,	,𛇈…	,			, , , , ,_, , 
u1B279	,𛉹	,连[线莲]	,8	,leng42	,	,Ɛ𛈌	,			, , , , ,_, , 
u1B27A	,𛉺	,男[南]	,8	,nong42	,	,。	,			, , , , ,_, , 
u1B27B	,𛉻	,胆[但担坦]	,8	,long35	,“但”？	,𛅳𛇈𛅰	,			, , , , ,_, , 
u1B27C	,𛉼	,冷[岭领另令丁钉]	,8	,liong13	,字形？	,𛆓𛅳[连笔]𛆊?𛆮?	,	, , , , ,_, , 
u1B27D	,𛉽	,定[静净睛]	,8	,tsiong13	,	,)V𛇆	,			, , , , ,_, , 
u1B27E	,𛉾	,星[参姓性簪]	,8	,siong44	,	,o𛅳oo	,			, , , , ,_, , 
u1B27F	,𛉿	,经[坚兼肩]	,8	,tcing44	,	,⼢𛇆	,			, , , , ,_, , 
u1B280	,𛊀	,展[沾]	,8	,tcing44	,字形？	,𛅰𛆫𛅴	,			,捡, , , ,_, ,〃
u1B281	,𛊁	,贤[嫌形刑]	,8	,cing42	,	,𛅼𛇝	,			, , , , ,_, , 
u1B282	,𛊂	,燕[咽]	,8	,ing21	,字形？	,𛅳𛇺	,			, , , , ,_, , 
u1B283	,𛊃	,安[鞍庵嗯饿误]	,8	,ng44	,	,xxx𛅴	,			, , , , ,_, , 
u1B284	,𛊄	,为[唯围微违维伪]	,9	,va42	,	,Ɛ②.	,		, , , , ,_, , 
u1B285	,𛊅	,坐[做]	,9	,sa35	,形似𛊜	,𛆉𛈊	,			, , , , ,_, , 
u1B286	,𛊆	,雷	,9	,lie42	,字形？	,宀𛇈	,			, , , , ,_, , 
u1B287	,𛊇	,退	,9	,tshie21	,字形？	,𛅳⾉	,			, , , , ,_, , 
u1B288	,𛊈	,昔[惜锡积绩]	,9	,sie5	,	,𛆢𛇈	,			, , , , ,_, , 
u1B289	,𛊉	,引	,9	,ie13	,	,𛅳④	,			, , , , ,_, , 
u1B28A	,𛊊	,尾[奶萎]	,9	,moe13	,	,𛆻不?	,			, , , , ,_, , 
u1B28B	,𛊋	,带[捉]	,9	,loe21	,	,𛆀※	,			, , , , ,_, , 
u1B28C	,𛊌	,春[村车]	,9	,tchye44	,	,龵𛇈	,			, , , , ,_, , 
u1B28D	,𛊍	,孙[靴逊训石顺射社赦停]	,9	,cye44	,字形？	,o𛉂	,		, , , , ,_, , 
u1B28E	,𛊎	,别[离厘篱璃罗]	,9	,pi33	,	,㓁𛅲:	,up!			, , , , ,_, , 
u1B28F	,𛊏	,梯	,9	,ti44	,	,𛅺①𛅰	,			, , , , ,_, , 
u1B290	,𛊐	,吉[结吸职折织执酌汁级击劫洁脚菊决]	,9	,tci5	,字形？	,Ɛ𛉂	,女漢￫結	, , , , ,_, , 
u1B291	,𛊑	,焦[蕉椒]	,9	,tsiu44	,	,Ɛ𛆧…	,			, , , , ,_, , 
u1B292	,𛊒	,腹	,9	,pu5	,	,𛇃𛆕	,			, , , , ,_, , 
u1B293	,𛊓	,妇[富附负]	,9	,fu21	,	,𛆕𛇝	,			,祸, , , ,_, , 
u1B294	,𛊔	,塔	,9	,thu35	,	,o.𛆇.o	,			, , , , ,_, , 
u1B295	,𛊕	,河[匣]	,9	,hu42	,字形？	,𛅳𛇝𛅳	,			, , , , ,_, , 
u1B296	,𛊖	,著[着惧菌祀]	,9	,tcy13	,	,朩𛇈	,			, , , , ,_, , 
u1B297	,𛊗	,雪[血歇硕设识室]	,9	,cy5	,	,.𛅳𛇝.	,		, , , , ,_, , 
u1B298	,𛊘	,朋[浮贫蓬盆袍]	,9	,pw42	,	,㓁𛆓	,			, , , , ,_, , 
u1B299	,𛊙	,刻	,9	,khw5	,	,.:𛆁:.	,			, , , , ,_, , 
u1B29A	,𛊚	,东[冬]	,9	,lai44	,	,𛅰.𛈌.	,			, , , , ,_, , 
u1B29B	,𛊛	,辛	,9	,sai44	,字形？	,).V.不	,up!女漢￫辛			, , , , ,_, , 
u1B29C	,𛊜	,省[产嫂]	,9	,sau35	,形似𛊅	,𛅹𛈊	,			, , , , ,_, , 
u1B29D	,𛊝	,愁[制智尘陈撑曹遭至志治种证镇禁髻似穷勤琴芹]	,9	,tsou42	,	,𛆨ㆬ	,	, , , , ,_, , 
u1B29E	,𛊞	,牛	,9	,ngou42	,	,)𛅰𛇀:	,			, , , , ,_, , 
u1B29F	,𛊟	,酒	,9	,tsiou33	,	,︙⾑	,up!			, , , , ,_, , 
u1B2A0	,𛊠	,咬	,9	,njiou13	,字形？	,o𛅲𛇈?	,			, , , , ,_, , 
u1B2A1	,𛊡	,叔[法]	,9	,ciou5	,字形？	,𛈏𛆇	,			, , , , ,_, , 
u1B2A2	,𛊢	,鱼[由游油犹尤衙牙芽渔柔娥吴]	,9	,iou42	,	,𛇪…？	,女漢￫魚		, , , , ,_, , 
u1B2A3	,𛊣≈英	,英	,9	,yn44	,	,。	,			, , , , ,_, , 
u1B2A4	,𛊤	,同[迟地赏堂团塘童棠唐谈桃萄逃统]	,9	,tang42	,	,𛅶V𛇈	,	, , , , ,_, , 
u1B2A5	,𛊥	,郎[狼朗短党挡栋]	,9	,lang42	,	,④o?	,		, , , , ,_, , 
u1B2A6	,𛊦	,广[管敢感赶馆]	,9	,kang35	,字形？	,宀𛆺	,			, , , , ,_, , 
u1B2A7	,𛊧	,欢[汉糠荒换焕汗唤翰旱]	,9	,hang44	,字形？	,𛅼𛅹︙	,		, , , , ,_, , 
u1B2A8	,𛊨	,黄[衔咸寒皇杭含韩]	,9	,hang42	,	,𛆢𛇝	,		, , , , ,_, , 
u1B2A9	,𛊩	,想[恐]	,9	,siang35	,	,不𛇈	,			, , , , ,_, , 
u1B2AA	,𛊪	,重[造层像象丈仗帐众奏皱灶皂降颂]	,9	,tciang13	,	,.𛈯.	,	, , , , ,_, , 
u1B2AB	,𛊫	,鸳[鸯秧婴烟染]	,9	,iang44	,字形？	,.:𛆂:.	,			, , , , ,_, , 
u1B2AC	,𛊬	,梅[棉绵枚]	,9	,meng42	,字形？	,)𛉶	,up!			,媒,眠, ,綿,_, ,〃
u1B2AD	,𛊭	,清[廷亭庭厅情晴青]	,9	,tsiong42	,字形？	,:𛉂	,		, , , , ,_, , 
u1B2AE	,𛊮	,岁[犯]	,9	,siong21	,	,xΔxx	,			, , , , ,_, , 
u1B2AF	,𛊯	,轻[穿川卿倾]	,9	,tchiong44	,	,o𛈰	,			, , , , ,_, , 
u1B2B0	,𛊰	,悲[碑被婢备辈斑贝]	,10	,pa33	,	,⁘𛅴⁘	,		,避, , , ,_, , 
u1B2B1	,𛊱	,脱	,10	,tshie5	,	,):口𛅰V?	,			, , , , ,_, , 
u1B2B2	,𛊲	,恨[憾]	,10	,sie5	,	,忄⾉	,			, , , , ,_, , 
u1B2B3	,𛊳	,灾[斋]	,10	,tsoe44	,	,𛆋ㄑ𛆓	,			, , , , ,_, , 
u1B2B4	,𛊴	,解[矮]	,10	,koe35	,	,𛅳..𛅰𛆊..?	,			, , , , ,_, , 
u1B2B5	,𛊵	,君[遵诸遮均]	,10	,tcye44	,	,𛆻𛆻	,			, , , , ,_, , 
u1B2B6	,𛊶	,存[巡膝袖竹罪最蔗尊炙跨裤俊军郡裙]	,10	,tcye42	,	,𛇂𛇂	,	, , , , ,_, , 
u1B2B7	,𛊷	,把	,10	,pwe35	,	,𛆇⾉	,			, , , , ,_, , 
u1B2B8	,𛊸	,思[屎司丝师诗私狮尸施斯恩]	,10	,swe44	,	,)𛇈ㆬ	,		, , , , ,_, , 
u1B2B9	,𛊹	,啼[提]	,10	,ti42	,字形？	,𛆀𛈾	,			,[], , , ,_, ,[〃]
u1B2BA	,𛊺	,移[姨摇窑]	,10	,i42	,	,𛅳𛉖	,			, , , , ,_, , 
u1B2BB	,𛊻	,其[场肠墙桥茄乔骑奇旗期棋麒祁强]	,10	,tciu42	,	,𛅳龺	,	, , , , ,_, , 
u1B2BC	,𛊼	,食[痴稀希烧失属淑][慧?]	,10	,ciu44	,字形？	,x𛈏x	,		, , , , ,_, , 
u1B2BD	,𛊽	,祖[组阻赌]	,10	,tsu35	,	,𛆳𛇈	,			, , , , ,_, , 
u1B2BE	,𛊾	,初[骂粗差操鬚租梳疏纱沙杉苏蓑蔬]	,10	,tshu35	,	,︙Ɛ𛆳	,	, , , , ,_, , 
u1B2BF	,𛊿	,孤[姑锅估]	,10	,ku44	,	,𛅲𛉶	,			, , , , ,_, , 
u1B2C0	,𛋀	,德[得]	,10	,lw5	,	,︙⾉	,女漢￫得			,答, , , ,_, , 
u1B2C1	,𛋁≈門!	,毛[闻門]	,10	,mai42	,对应存疑，见𛇷	,𛆻𛆻?	,女漢￫門			, , , , ,_, , 
u1B2C2	,𛋂	,高[篮糕篙哥勾钩沟敲]	,10	,kau44	,	,)⑤ㆬ	,		, , , , ,_, , 
u1B2C3	,𛋃	,透[兜痛探偷滔]	,10	,thou21	,	,⑤𛇝	,			, , , , ,_, , 
u1B2C4	,𛋄	,候	,10	,hou33	,字形？	,𛅳ΛШ𛅳?	,			, , , , ,_, , 
u1B2C5	,𛋅	,房[螃环防纺访盘旁]	,10	,pang42	,	,):𛆺:	,		, , , , ,_, , 
u1B2C6	,𛋆	,风[宾冰掰凭]	,10	,fang44	,字形？	,o𛉟	,			, , , , ,_, , 
u1B2C7	,𛋇	,断[段缎]	,10	,tang13	,	,..𛈄..	,			, , , , ,_, , 
u1B2C8	,𛋈	,浪[乱]	,10	,lang33	,	,𛉶𛅴? \ 𛆉𛆌𛅼	,			, , , , ,_, , 
u1B2C9	,𛋉	,墨[妹面免敏]	,10	,meng33	,	,𛆨𛆨	,			, , , , ,_, , 
u1B2CA	,𛋊	,垫[殿电佃恬填甜]	,10	,teng42	,	,..𛈎..	,		, , , , ,_, , 
u1B2CB	,𛋋	,前[贱尖箭严然钱浅]	,10	,tseng42	,	,𛆓𛈏?	,		, , , , ,_, , 
u1B2CC	,𛋌	,善	,10	,cing13	,	,)𛅳⾉	,			, , , , ,_, , 
u1B2CD	,𛋍	,盈[默蔫阎盐炎郁抑迎延仍]	,10	,ing42	,	,o𛉒	,		, , , , ,_, , 
u1B2CE	,𛋎	,浸	,11	,tsa33	,	,𛅶𛅰𛅹.𛅼.?	,up!			, , , , ,_, , 
u1B2CF	,𛋏	,借	,11	,tsie21	,	,𛅳𛆓𛇈	,			, , , , ,_, , 
u1B2D0	,𛋐	,胜[兴虚甚]	,11	,cie21	,字形？	,𛅳𛊕	,			, , , , ,_, , 
u1B2D1	,𛋑≈埋	,埋	,11	,moe42	,	,𛆀𛉄	,up!			, , , , ,_, , 
u1B2D2	,𛋒	,鸟[底抵越体桶]	,11	,li35	,	,):𛆻︙	,up!女漢￫鳥			, , , , ,_, , 
u1B2D3	,𛋓	,节[猫拆策摘责接截]	,11	,tsi5	,	,𛆇𛆀𛇈	,		, , , , ,_, , 
u1B2D4	,𛋔	,娇[嬉招值置蛰这鸡饥机基稽轿急极寂居俱绝襟闺]	,11	,tci44	,	,𛆇𛉒	,up!	, , , , ,_, , 
u1B2D5	,𛋕	,倚[椅扰]	,11	,i35	,	,𛅶𛅶⾉	,			, , , , ,_, , 
u1B2D6	,𛋖≈莫	,莫	,11	,mu33	,	,。	,up!			, , , , ,_, , 
u1B2D7	,𛋗	,路[露禄腊芦炉卢庐鲁鸬掳妒都]	,11	,lu21	,	,𛆓𛅼[连笔]𛇈	,		, , , , ,_, , 
u1B2D8	,𛋘	,湖[壶]	,11	,hu42	,	,o𛊖	,			, , , , ,_, , 
u1B2D9	,𛋙	,神[辰承乘晨丞绍殊竖]	,11	,cyu33	,	,𛆳𛈌	,		, , , , ,_, , 
u1B2DA	,𛋚	,黑	,11	,hw5	,	,..𛈖..	,			, , , , ,_, , 
u1B2DB	,𛋛	,道[豆]	,11	,tau13	,	,𛆙④	,up!			, , , , ,_, , 
u1B2DC	,𛋜	,绣	,11	,siou21	,字形？	,②	,女漢￫秀			,秀, , , ,_, ,〃
u1B2DD	,𛋝	,落[洛]	,11	,lew33	,字形？	,︙𛈔o	,			, , , , ,_, , 
u1B2DE	,𛋞	,错	,11	,tshew5	,	,⑤𛇾	,			, , , , ,_, , 
u1B2DF	,𛋟	,远[县冤渊怨]	,11	,yn13	,	,︙𛆀𛇝	,			, , , , ,_, , 
u1B2E0	,𛋠	,淡	,11	,tong13	,	,︙𛆕𛆕	,			, , , , ,_, , 
u1B2E1	,𛋡	,饮[隐]	,12	,ie35	,	,𛅳𛇈𛅵𛅼	,			, , , , ,_, , 
u1B2E2	,𛋢	,挖	,12	,voe5	,字形？	,𛆀宀:乚?	,			, , , , ,_, , 
u1B2E3	,𛋣	,慈[持]	,12	,tswe21	,	,?	,			, , , , ,_, , 
u1B2E4	,𛋤	,意	,12	,i21	,	,𛆀𛇈𛆓	,up!			, , , , ,_, , 
u1B2E5	,𛋥	,独[舂毒达度渡窦肚读薯榻踏屠图]	,12	,tu33	,	,不𛉺	,		, , , , ,_, , 
u1B2E6	,𛋦	,堵	,12	,lu35	,	,𛈌𛈔	,			, , , , ,_, , 
u1B2E7	,𛋧	,乐[漏蔸]	,12	,lou33	,	,Ɛ𛆀𛇈Ȝ	,女漢￫樂			, , , , ,_, , 
u1B2E8	,𛋨	,爱	,12	,tsou42	,	,𛅳𛆨𛅾𛅳?	,			,愛, , , ,_, ,〃
u1B2E9	,𛋩	,争	,12	,tsuow44	,	,𛆏𛆏𛅰𛅹	,			, , , , ,_, , 
u1B2EA	,𛋪	,美[满梦摸摩蒙胖网]	,12	,mang13	,形似𛋭	,𛆀xx𛇝	,up!		,判, , , ,_, , 
u1B2EB	,𛋫	,贵[总困跪棍拐]	,12	,tciang33	,	,𛅳..𛈌..	,			, , , , ,_, , 
u1B2EC	,𛋬	,唱[铳]	,12	,tchiang21	,	,o昌	,			, , , , ,_, , 
u1B2ED	,𛋭	,惊[荆精兢]	,12	,tciong44	,形似𛋪	,𛆀oo𛇝	,			, , , , ,_, , 
u1B2EE	,𛋮	,谢[席阵笛碟敌]	,13	,tsie33	,	,𛈔⾉	,			, , , , ,_, , 
u1B2EF	,𛋯	,卖[袜]	,13	,moe33	,字形？	,𛅳昔?	,			, , , , ,_, , 
u1B2F0	,𛋰	,歌[科戈]	,13	,ku44	,字形？	,𛅳②	,			, , , , ,_, , 
u1B2F1	,𛋱	,暑[许鼠]	,13	,cyu35	,形似𛉝	,𛅳oo𛅰ooo?	,up!			, , , , ,_, , 
u1B2F2	,𛋲	,背	,13	,pw21	,柳叶对应“杯”，有误	,𛉆𛇈	,		, , , , ,_, , 
u1B2F3	,𛋳	,沉[蚕辞巢僧]	,13	,tsiang42	,	,︙昌	,			, , , , ,_, , 
u1B2F4	,𛋴	,妻[葱抄亲侵]	,14	,tshai44	,	,④④	,			, , , , ,_, , 
u1B2F5	,𛋵	,眼	,14	,nguow13	,	,⾉⾉	,			, , , , ,_, , 
u1B2F6	,𛋶	,给[活或悔患佛范]	,14	,nong44	,	,。	,女漢￫會		,罚, , , ,_, ,〃
u1B2F7	,𛋷	,福[忽复幅斧魄]	,15	,fu5	,	,𛆳昌	,			, , , , ,_, , 
u1B2F8	,𛋸	,谷[穀鸽]	,15	,ku5	,	,𛅾𛇈𛅾𛆺	,			, , , , ,_, , 
u1B2F9	,𛋹	,凤	,15	,fang33	,	,𛆢𛋒	,			,鳳, , , ,_, ,〃
u1B2FA	,𛋺	,渐[转眷]	,16	,tcye21	,	,龺龺	,			, , , , ,_, , 
u1B2FB	,𛋻	,费	,16	,fi21	,	,o𛋶	,			, , , , ,_, , 
