#	,女字	,汉字	,笔数	,读音	,疑点	,偏旁	,备注			,ss1,ss2,ss3,ss4,,ss9,ss10
u1B1AA	,𛆪	,吹	,5	,tchya33	,	,o𛅹	,			, , , , ,_, , 
u1B1AB	,𛆫≈内	,内[嫩]	,5	,nie33	,	,ㄑ𛅰𛅳	,			, , , , ,_, , 
u1B1AC	,𛆬	,对[兑队堆顿]	,5	,lie21	,	,x𛅼	,			, , , , ,_, , 
u1B1AD	,𛆭	,金[真针珍贞斟征今斤巾筋徽沈]	,5	,tcie44	,	,𛅳𛆊	,女漢￫今，我觉得像㐱	, , , , ,_, , 
u1B1AE	,𛆮	,称	,5	,tchie44	,	,V𛅱𛅰?	,			, , , , ,_, , 
u1B1AF	,𛆯	,夜[亦]	,5	,njie44	,	,..𛆆	,			, , , , ,_, , 
u1B1B0	,𛆰	,银[吟]	,5	,njie42	,	,.𛅺. \ 𛆏|	,			, , , , ,_, , 
u1B1B1	,𛆱	,音[系阴因姻殷忆与裕依医要以已孕荫于妖腰语药易应遗喻瑜幼任儒污]	,5	,ie44	,	,)③	,, , , , ,_, , 
u1B1B2	,𛆲	,吃	,5	,ie33	,	,o𛅺	,			, , , , ,_, , 
u1B1B3	,𛆳	,不	,5	,mwe13	,形似𛆨	,.𛅹.	,女漢￫不			, , , , ,_, , 
u1B1B4	,𛆴	,会[曰]	,5	,vwe33	,	,?	,女漢￫曰			, , , , ,_, , 
u1B1B5	,𛆵	,压[划鸭]	,5	,vwe5	,	,:?	,			, , , , ,_, , 
u1B1B6	,𛆶	,他[曲]	,5	,twe33	,字形？	,𛆢?	,			, , , , ,_, , 
u1B1B7	,𛆷	,之	,5	,tswe44	,	,V𛅹	,			,支, , , ,_, , 
u1B1B8	,𛆸	,时[匙]	,5	,swe42	,	,:𛆇	,			, , , , ,_, , 
u1B1B9	,𛆹	,士[赐氏仕视市示史]	,5	,swe13	,	,𛅳𛆀	,		, , , , ,_, , 
u1B1BA	,𛆺	,己[爪几举缴]	,5	,tci35	,	,。	,			, , , , ,_, , 
u1B1BB	,𛆻	,起[彻喜枕肿紧锦砌]	,5	,ci35	,	,。	,		, , , , ,_, , 
u1B1BC	,𛆼	,叶	,5	,i5	,	,𛆀o	,			, , , , ,_, , 
u1B1BD	,𛆽	,绿[猪料旅驴]	,5	,liu44	,	,𛅳𛅴)	,			, , , , ,_, , 
u1B1BE	,𛆾	,尿	,5	,njiu33	,	,𛅳𛅸	,			, , , , ,_, , 
u1B1BF	,𛆿	,少[稍]	,5	,ciu35	,	,𛆓𛅰	,			, , , , ,_, , 
u1B1C0	,𛇀	,母[马木目墓麦磨麻亩牡]	,5	,mu13	,	,𛅰口	,		, , , , ,_, , 
u1B1C1	,𛇁	,又[拿也右佑匀若]	,5	,yu44	,	,.𛆆.	,		, , , , ,_, , 
u1B1C2	,𛇂	,去[翠趣取区]	,5	,tchy21	,	,𛅰③	,比较p86			,欺, , , ,_, , 
u1B1C3	,𛇃	,月[遇]	,5	,njy33	,	,。	,			, , , , ,_, , 
u1B1C4	,𛇄	,如[余欲愚]	,5	,y42	,	,𛆁o	,			, , , , ,_, , 
u1B1C5	,𛇅	,本[表]	,5	,pai35	,	,.𛆀.	,			, , , , ,_, , 
u1B1C6	,𛇆	,正[惭政整诊拯镜敬竟京颈景警]	,5	,pai35	,	,.𛆃.	,		, , , , ,_, , 
u1B1C7	,𛇇	,怜[林淋麟劳僚]	,5	,lai42	,	,.⼢.	,			, , , , ,_, , 
u1B1C8	,𛇈	,日[儿而尔]	,5	,ai42	,	,。	,女漢￫日			, , , , ,_, , 
u1B1C9	,𛇉	,口[搞]	,5	,hau35	,	,x𛅹	,			, , , , ,_, , 
u1B1CA	,𛇊	,投[脑头套]	,5	,tou42	,字形？	,𛅳𛆠?	,			, , , , ,_, , 
u1B1CB	,𛇋	,柳[刘流留榴溜]	,5	,liou42	,	,:𛅼	,女漢￫刘			, , , , ,_, , 
u1B1CC	,𛇌≈后	,后	,5	,iou13	,	,o?	,			,[], , , ,_, , 
u1B1CD	,𛇍	,左	,5	,tsew35	,字形？	,𛅲𛆃	,			, , , , ,_, , 
u1B1CE	,𛇎	,作[综]	,5	,tsew21	,字形？	,乚?	,			, , , , ,_, , 
u1B1CF	,𛇏	,生[山甥牲笙衫梭馊腮]	,5	,suow44	,	,:?	,女漢￫生		, , , , ,_, , 
u1B1D0	,𛇐	,行[闲杏限幸还衡烦]	,5	,huow42	,	,Ɛ𛆃	,		, , , , ,_, , 
u1B1D1	,𛇑	,反	,5	,huow35	,	,ㄑ𛅼	,			, , , , ,_, , 
u1B1D2	,𛇒	,外[稳]	,5	,nguw33	,字形？	,⼢𛅷	,			, , , , ,_, , 
u1B1D3	,𛇓	,眉[忙茫盲瞒迷眯蛮]	,5	,mang42	,	,?	,		, , , , ,_, , 
u1B1D4	,𛇔	,汤	,5	,thang44	,	,o𛆇	,			, , , , ,_, , 
u1B1D5	,𛇕	,光[间减烘官功肝冠干冈甘棺岗缸柑观关杆]	,5	,kang44	,	,.𛅻.	,	, , , , ,_, , 
u1B1D6	,𛇖	,亮[谅量]	,5	,liang33	,	,𛅻o	,			, , , , ,_, , 
u1B1D7	,𛇗	,讲[掌]	,5	,tciang35	,	,𛅶𛆃	,			, , , , ,_, , 
u1B1D8	,𛇘	,娘	,5	,njiang42	,	,𛆁:	,			, , , , ,_, , 
u1B1D9	,𛇙	,边[便鞭辫偏]	,5	,peng44	,	,Ɛ𛅾	,			, , , , ,_, , 
u1B1DA	,𛇚	,先[仙]	,5	,seng44	,字形？	,𛆥|?	,			,[], ,鲜, ,_, ,[〃]
u1B1DB	,𛇛	,平[评瓶]	,5	,piong42	,	,?	,			,丙, , , ,_, , 
u1B1DC	,𛇜	,听	,5	,tshiong21	,	,o𛅾	,			, , , , ,_, , 
u1B1DD	,𛇝	,见[建件]	,5	,tcing21	,	,。	,			, , , , ,_, , 
u1B1DE	,𛇞	,笔	,6	,pa5	,	,.𛆗.	,			, , , , ,_, , 
u1B1DF	,𛇟	,立[厉笠]	,6	,la33	,	,𛅳.𛅱.?	,			, , , , ,_, , 
u1B1E0	,𛇠	,写[齿刺次些伞且]	,6	,sie35	,	,.:?	,		, , , , ,_, , 
u1B1E1	,𛇡	,毑	,6	,tcie35	,	,𛆕𛅵 \ .𛆝.	,读如“姐”但含义似乎是妈		, , , , ,_, , 
u1B1E2	,𛇢	,[暂放私用区“”]	,6	,ie21	,柳叶对应“几”，有误	,𛅳)③?	,对应的[个\派\引\依]均被占用	, , , , ,_, , 
u1B1E3	,𛇣	,拜[报摆跛败拔沸皮]	,6	,poe21	,	,:𛆥	,		, , , , ,_, , 
u1B1E4	,𛇤	,来	,6	,loe42	,	,.龵.	,			, , , , ,_, , 
u1B1E5	,𛇥	,在[再载债栽]	,6	,tsoe13	,形近𛇻	,𛅳𛆧	,			, , , , ,_, , 
u1B1E6	,𛇦	,采[插踩煞杀刹死]	,6	,soe5	,	,𛅵𛆓	,		, , , , ,_, , 
u1B1E7	,𛇧	,乖[该改盖]	,6	,koe44	,	,x𛆧	,			, , , , ,_, , 
u1B1E8	,𛇨	,快[块]	,6	,khuoe21	,	,𛅶𛆉.	,			, , , , ,_, , 
u1B1E9	,𛇩	,忧[运野益闰惹弱]	,6	,ye21	,	,.𛆠.?	,		, , , , ,_, , 
u1B1EA	,𛇪	,白[吧培]	,6	,pwe33	,	,)𛇈	,			, , , , ,_, , 
u1B1EB	,𛇫	,百[佰柏缽迫泼]	,6	,pwe5	,	,𛇈?	,			, , , , ,_, , 
u1B1EC	,𛇬	,气[弃契]	,6	,tchi21	,	,𛆥:	,			, , , , ,_, , 
u1B1ED	,𛇭	,住[除厨柱足聚樵]	,6	,tsiu33	,	,𛆇𛆇	,		, , , , ,_, , 
u1B1EE	,𛇮	,和[鞋何蝴荷胡豪毫耗芙扶]	,6	,fu42	,	,Ɛ𛆘	,		, , , , ,_, , 
u1B1EF	,𛇯	,无[嬷禾鹅乌]	,6	,vu42	,字形？	,𛅰..𛅹	,up!			, , , , ,_, , 
u1B1F0	,𛇰≈古	,古[苦枯虎果鼓股故固]	,6	,khu35	,	,朩o	,		, , , , ,_, , 
u1B1F1	,𛇱	,哭	,6	,hu5	,	,o𛅳o	,			, , , , ,_, , 
u1B1F2	,𛇲	,杯[拨变卜霸陪拍怕帕赔聘]	,6	,pw13	,柳叶对应“背”，替换	,)𛇈	,	, , , , ,_, , 
u1B1F3	,𛇳	,华	,6	,fw42	,	,)V𛅼	,			,[], ,回, ,_, ,[〃]
u1B1F4	,𛇴	,色[侄塞始使适]	,6	,sw5	,	,𛅼..𛅰?	,			, , , , ,_, , 
u1B1F5	,𛇵	,葛[滑割物]	,6	,kw5	,	,𛆉o𛅴?	,			, , , , ,_, , 
u1B1F6	,𛇶	,开[害]	,6	,hw44	,字形？	,V..Λ	,			,孩, , , ,_, ,〃
u1B1F7	,𛇷	,门[民]	,6	,mai42	,	,oVo	,女漢￫門[后期简化]		, , , , ,_, , 
u1B1F8	,𛇸	,吞	,6	,thai44	,	,𛆉𛅰o?	,			, , , , ,_, , 
u1B1F9	,𛇹	,心[森]	,6	,sai44	,	,𛆚:	,女漢￫心			, , , , ,_, , 
u1B1FA	,𛇺	,新[悯]	,6	,sai44	,	,:𛅰︙	,			, , , , ,_, , 
u1B1FB	,𛇻	,讨	,6	,thau35	,形近𛇥	,𛆚x	,			, , , , ,_, , 
u1B1FC	,𛇼	,到[汪倒稻]	,6	,lau21	,	,:𛆧	,女漢￫到，我觉得像汪		, , , , ,_, , 
u1B1FD	,𛇽	,老	,6	,lau21	,	,⺈:⺈	,			, , , , ,_, , 
u1B1FE	,𛇾	,明[名鸣抛]	,6	,nw33	,	,𛅾𛅾	,			, , , , ,_, , 
u1B1FF	,𛇿	,阁[搁罐]	,6	,kou33	,	,𛆅𛆇	,			, , , , ,_, , 
u1B200	,𛈀	,休[收岸]	,6	,ciou44	,	,𛅳③	,			, , , , ,_, , 
u1B201	,𛈁≈多	,多	,6	,lew44	,	,𛅼𛅼	,			, , , , ,_, , 
u1B202	,𛈂	,所	,6	,sew35	,	,o𛆋	,			, , , , ,_, , 
u1B203	,𛈃	,炭	,6	,thuow21	,字形？	,𛅵朩	,			, , , , ,_, , 
u1B204	,𛈄	,万[湾弯]	,6	,uow33	,卐	,。	,			, , , , ,_, , 
u1B205	,𛈅≈甲!	,国[甲嘉隔格寡滚]	,6	,kuw5	,	,。	,		, , , , ,_, , 
u1B206	,𛈆	,全[传程呈权泉乾拳]	,6	,tcyn42	,	,𛅳𛆧	,		,缠, , , ,_, , 
u1B207	,𛈇	,映[苑影]	,6	,yn35	,	,𛅶𛆙	,			, , , , ,_, , 
u1B208	,𛈈	,望[妄]	,6	,vang33	,	,o𛆧	,			, , , , ,_, , 
u1B209	,𛈉	,庄[床妆装宗桩状撞藏]	,6	,tsang44	,	,x𛆥	,		, , , , ,_, , 
u1B20A	,𛈊≈双	,双[栅霜桑酸丧]	,6	,sang44	,	,𛅼𛅼	,女漢￫双			, , , , ,_, , 
u1B20B	,𛈋	,孔	,6	,khang35	,	,𛆇乚	,			, , , , ,_, , 
u1B20C	,𛈌	,中[章终张忠专涨樟江姜疆恭宫刚钢公共供弓]	,6	,tciang44	,	,。	,女漢￫中	, , , , ,_, , 
u1B20D	,𛈍	,用[养样央让]	,6	,iang13	,字形？	,𛆧𛅴?	,			, , , , ,_, , 
u1B20E	,𛈎≈田	,田	,6	,teng42	,	,。	,			, , , , ,_, , 
u1B20F	,𛈏	,念[闹怒哪侬炼练联验砚艳研]	,6	,neng33	,	,Δ…	,		, , , , ,_, , 
u1B210	,𛈐	,病[篇]	,6	,piong33	,	,.𛆦.	,			, , , , ,_, , 
u1B211	,𛈑	,命	,6	,miong33	,	,𛅳⺈⺈	,			, , , , ,_, , 
u1B212	,𛈒	,成[城诚船悬凡盛]	,6	,ciong42	,	,𛆽(	,		, , , , ,_, , 
u1B213	,𛈓≈圣	,圣	,6	,ciong21	,	,𛅼𛆀	,			, , , , ,_, , 
u1B214	,𛈔	,言	,6	,njing42	,	,𛆀𛅼	,			, , , , ,_, , 
u1B215	,𛈕	,五[暗案邀颜岩硬碗]	,6	,ng13	,	,𛆺|	,		, , , , ,_, , 
u1B216	,𛈖≈早	,早[走澡者]	,7	,tsa35	,变体迥异	,𛈅𛅰	,			, ,盏,姊, ,_, , 
u1B217	,𛈗	,四[散瘦扫]	,7	,sa21	,	,Ɛ𛇈	,			, ,晒, , ,_, , 
u1B218	,𛈘	,归[规龟]	,7	,kua44	,	,𛅶𛇈	,			, , , , ,_, , 
u1B219	,𛈙	,鬼[癸诡]	,7	,kua35	,	,𛆓𛆥[连笔] \ 忄𛆥	,		, , , , ,_, , 
u1B21A	,𛈚	,出	,7	,cya5	,	,乚?	,			, , , , ,_, , 
u1B21B	,𛈛	,申[身深升伸剩]	,7	,cie44	,	,𛈌.	,			, , , , ,_, , 
u1B21C	,𛈜	,派	,7	,phoe35	,字形？	,𛅳)𛅲:?	,			, , , , ,_, , 
u1B21D	,𛈝	,怀	,7	,foe42	,	,Ɛ①	,			, , , , ,_, , 
u1B21E	,𛈞	,辣[俫]	,7	,loe35	,字形？	,𛅳𛇝	,			, , , , ,_, , 
u1B21F	,𛈟	,猜	,7	,tshoe44	,	,𛅳①	,			, , , , ,_, , 
u1B220	,𛈠	,菜[蔡]	,7	,tshoe21	,	,𛆅𛆧	,			, , , , ,_, , 
u1B221	,𛈡	,衣	,7	,oe44	,	,.𛈁	,			, , , , ,_, , 
u1B222	,𛈢	,牵[扯蠢托拖]	,7	,tchye35	,	,𛆇𛆓	,			, , , , ,_, , 
u1B223	,𛈣	,花[夏话画]	,7	,fwe44	,	,..𛆆..	,			, , , , ,_, , 
u1B224	,𛈤	,自[字枝脂姿滋兹只则寺]	,7	,tswe33	,似𛉊	,)V𛆑	,		,贼, , , ,_, , 
u1B225	,𛈥	,热[逆孽泥业]	,7	,ni33	,	,𛇓..	,女漢￫業			, , , , ,_, , 
u1B226	,𛈦	,切	,7	,tshi5	,	,𛆀𛆍	,			, , , , ,_, , 
u1B227	,𛈧	,妾	,7	,tshi5	,字形？	,𛅶:𛅼?	,			, , , , ,_, , 
u1B228	,𛈨	,西[犀消肖宵逍凄]	,7	,si44	,	,Ɛ㓁	,		, , , , ,_, , 
u1B229	,𛈩	,合[喝赴务]	,7	,fu33	,	,𛅳𛇈	,			, , , , ,_, , 
u1B22A	,𛈪	,你[恼]	,7	,ang21	,形似𛈻	,𛅳𛆳	,			, , , , ,_, , 
